,taskID,compID,processID,threadID,start,stop,width
0,1,1,3396,29284,4.967063665390015,5.017120361328125,0.05005669593811035
1,1,2,3396,29284,5.018113851547241,5.24411678314209,0.22600293159484863
2,1,3,3396,29284,5.253119468688965,5.793064117431641,0.5399446487426758
3,1,4,3396,29284,5.793064117431641,5.894140005111694,0.10107588768005371
4,1,5,3396,29284,5.894140005111694,6.3211669921875,0.42702698707580566
5,1,6,3396,29284,6.3211669921875,6.535168886184692,0.21400189399719238
6,1,7,3396,29284,6.536170959472656,6.537167072296143,0.0009961128234863281
7,1,8,3396,29284,0.0,0.0,0.0
8,1,9,3396,29284,0.0,0.0,0.0
9,1,10,3396,29284,6.537167072296143,6.555171966552734,0.018004894256591797
10,1,11,3396,29284,6.555171966552734,6.555171966552734,0.0
11,2,1,11148,11200,4.971115827560425,5.022122859954834,0.05100703239440918
12,2,2,11148,11200,5.022122859954834,5.215115070343018,0.1929922103881836
13,2,3,11148,11200,5.2221410274505615,5.729116916656494,0.5069758892059326
14,2,4,11148,11200,5.729116916656494,5.822086572647095,0.09296965599060059
15,2,5,11148,11200,5.822086572647095,6.224231243133545,0.4021446704864502
16,2,6,11148,11200,6.224231243133545,6.436171770095825,0.21194052696228027
17,2,7,11148,11200,6.4371702671051025,6.4371702671051025,0.0
18,2,8,11148,11200,0.0,0.0,0.0
19,2,9,11148,11200,0.0,0.0,0.0
20,2,10,11148,11200,6.438169956207275,6.454170227050781,0.01600027084350586
21,2,11,11148,11200,6.454170227050781,6.454170227050781,0.0
22,3,1,11148,11200,6.4581708908081055,6.51317286491394,0.05500197410583496
23,3,2,11148,11200,6.51317286491394,6.668227672576904,0.15505480766296387
24,3,3,11148,11200,6.6742284297943115,7.087229490280151,0.41300106048583984
25,3,4,11148,11200,7.087229490280151,7.157233238220215,0.07000374794006348
26,3,5,11148,11200,7.157233238220215,7.3992321491241455,0.24199891090393066
27,3,6,11148,11200,7.3992321491241455,7.540177583694458,0.1409454345703125
28,3,7,11148,11200,7.541230916976929,7.541230916976929,0.0
29,3,8,11148,11200,0.0,0.0,0.0
30,3,9,11148,11200,0.0,0.0,0.0
31,3,10,11148,11200,7.542231559753418,7.554232835769653,0.012001276016235352
32,3,11,11148,11200,7.554232835769653,7.554232835769653,0.0
33,4,1,3396,29284,6.559170722961426,6.60823130607605,0.04906058311462402
34,4,2,3396,29284,6.60823130607605,6.735228061676025,0.12699675559997559
35,4,3,3396,29284,6.742226600646973,7.120233058929443,0.3780064582824707
36,4,4,3396,29284,7.120233058929443,7.185235977172852,0.0650029182434082
37,4,5,3396,29284,7.185235977172852,7.4002299308776855,0.21499395370483398
38,4,6,3396,29284,7.4002299308776855,7.507226943969727,0.10699701309204102
39,4,7,3396,29284,7.508229732513428,7.508229732513428,0.0
40,4,8,3396,29284,0.0,0.0,0.0
41,4,9,3396,29284,0.0,0.0,0.0
42,4,10,3396,29284,7.509230136871338,7.525232791900635,0.016002655029296875
43,4,11,3396,29284,7.525232791900635,7.525232791900635,0.0
44,5,1,3396,29284,7.528233051300049,7.583231687545776,0.05499863624572754
45,5,2,3396,29284,7.583231687545776,7.644236087799072,0.0610044002532959
46,5,3,3396,29284,7.6472320556640625,7.88623571395874,0.23900365829467773
47,5,4,3396,29284,7.88623571395874,7.916231870651245,0.029996156692504883
48,5,5,3396,29284,7.916231870651245,8.047229528427124,0.1309976577758789
49,5,6,3396,29284,8.047229528427124,8.175230264663696,0.12800073623657227
50,5,7,3396,29284,8.176230430603027,8.177230834960938,0.0010004043579101562
51,5,8,3396,29284,0.0,0.0,0.0
52,5,9,3396,29284,0.0,0.0,0.0
53,5,10,3396,29284,8.177230834960938,8.193231344223022,0.01600050926208496
54,5,11,3396,29284,8.193231344223022,8.193231344223022,0.0
55,6,1,11148,11200,7.557230472564697,7.595235109329224,0.03800463676452637
56,6,2,11148,11200,7.5962347984313965,7.650237321853638,0.05400252342224121
57,6,3,11148,11200,7.6532299518585205,7.870235204696655,0.21700525283813477
58,6,4,11148,11200,7.870235204696655,7.897178411483765,0.026943206787109375
59,6,5,11148,11200,7.897178411483765,7.963231801986694,0.06605339050292969
60,6,6,11148,11200,7.963231801986694,7.993232011795044,0.03000020980834961
61,6,7,11148,11200,7.994232416152954,7.994232416152954,0.0
62,6,8,11148,11200,0.0,0.0,0.0
63,6,9,11148,11200,0.0,0.0,0.0
64,6,10,11148,11200,7.994232416152954,8.00623345375061,0.01200103759765625
65,6,11,11148,11200,8.00623345375061,8.00623345375061,0.0
66,7,1,11148,11200,8.009232521057129,8.057234287261963,0.048001766204833984
67,7,2,11148,11200,8.057234287261963,8.104232788085938,0.04699850082397461
68,7,3,11148,11200,8.107231378555298,8.331236600875854,0.22400522232055664
69,7,4,11148,11200,8.331236600875854,8.35617971420288,0.024943113327026367
70,7,5,11148,11200,8.35617971420288,8.444233179092407,0.08805346488952637
71,7,6,11148,11200,8.444233179092407,8.56331992149353,0.11908674240112305
72,7,7,11148,11200,8.56331992149353,8.564321517944336,0.001001596450805664
73,7,8,11148,11200,0.0,0.0,0.0
74,7,9,11148,11200,0.0,0.0,0.0
75,7,10,11148,11200,8.564321517944336,8.576315879821777,0.011994361877441406
76,7,11,11148,11200,8.576315879821777,8.576315879821777,0.0
77,8,1,3396,29284,8.197231769561768,8.24823546409607,0.05100369453430176
78,8,2,3396,29284,8.24823546409607,8.288234949111938,0.03999948501586914
79,8,3,3396,29284,8.291237831115723,8.486178636550903,0.19494080543518066
80,8,4,3396,29284,8.486178636550903,8.50931429862976,0.023135662078857422
81,8,5,3396,29284,8.50931429862976,8.574317216873169,0.0650029182434082
82,8,6,3396,29284,8.574317216873169,8.616316318511963,0.041999101638793945
83,8,7,3396,29284,8.616316318511963,8.617314100265503,0.000997781753540039
84,8,8,3396,29284,0.0,0.0,0.0
85,8,9,3396,29284,0.0,0.0,0.0
86,8,10,3396,29284,8.617314100265503,8.629318714141846,0.012004613876342773
87,8,11,3396,29284,8.629318714141846,8.629318714141846,0.0
